fec_candidate_id,candidate_name,committee_id,committee_name,designation,designation_full,committee_type,committee_type_full,is_principal
S6ME00357,"FAVREAU, TUCKER",C00907873,TUCKER FOR MAINE,P,Principal campaign committee,S,Senate,True
S4CA00449,"FENNELL, JEREMY",C00816645,FENNELL FOR SENATE 2024,P,Principal campaign committee,S,Senate,True
S2NH00280,"FENTON, BRUCE",C00816967,BRUCE FENTON FOR LIBERTY,P,Principal campaign committee,S,Senate,True
S4CA00621,"FERREIRA, FRANK",C00837807,FRANK J FERREIRA FOR U.S. SENATE,P,Principal campaign committee,S,Senate,True
S6PA00274,"FETTERMAN, JOHN KARL",C00765800,FETTERMAN FOR PA,P,Principal campaign committee,S,Senate,True
S6PA00274,"FETTERMAN, JOHN KARL",C00586578,FETTERMAN FOR SENATE,P,Principal campaign committee,S,Senate,True
S6PA00274,"FETTERMAN, JOHN KARL",C00822445,PROGRESS IV AMERICA,U,Unauthorized,O,Super PAC (Independent Expenditure-Only),False
S6WV00188,"FETTY ANDERSON, RACHEL LEE",C00932459,ELECT FETTY ANDERSON SENATE CAMPAIGN,P,Principal campaign committee,S,Senate,True
S4MD00293,"FICKER, ROBIN",C00832733,ROBIN FICKER FOR US SENATE,P,Principal campaign committee,S,Senate,True
S6NJ00404,"FIELDS, CHRIS",C00923003,CHRIS FIELDS FOR SENATE,P,Principal campaign committee,S,Senate,True
S8TN00352,"FINCHER, STEPHEN",C00466854,STEPHEN FINCHER FOR SENATE,A,Authorized by a candidate,S,Senate,False
S2IA00164,"FINKENAUER, ABBY",C00785279,ABBY FOR IOWA,P,Principal campaign committee,S,Senate,True
S2NE00094,"FISCHER, DEBRA S.",C00522771,2012 SENATE WIN,J,Joint fundraising committee,S,Senate,False
S2NE00094,"FISCHER, DEBRA S.",C00637181,2017 SENATORS CLASSIC COMMITTEE,J,Joint fundraising committee,S,Senate,False
S2NE00094,"FISCHER, DEBRA S.",C00498907,DEB FISCHER FOR US SENATE,P,Principal campaign committee,S,Senate,True
S2NE00094,"FISCHER, DEBRA S.",C00525352,FISCHER VICTORY COMMITTEE,J,Joint fundraising committee,N,PAC - Nonqualified,False
S2NE00094,"FISCHER, DEBRA S.",C00572107,FISCHER VICTORY FUND,J,Joint fundraising committee,N,PAC - Nonqualified,False
S2NE00094,"FISCHER, DEBRA S.",C00527424,LEGACY VICTORY COMMITTEE,J,Joint fundraising committee,N,PAC - Nonqualified,False
S2NE00094,"FISCHER, DEBRA S.",C00543314,NEBRASKA JOINT VICTORY FUND,J,Joint fundraising committee,N,PAC - Nonqualified,False
S2NE00094,"FISCHER, DEBRA S.",C00652081,PROTECTING THE MAJORITY COMMITTEE,J,Joint fundraising committee,N,PAC - Nonqualified,False
S2NE00094,"FISCHER, DEBRA S.",C00671925,PROTECT THE SENATE 2018,J,Joint fundraising committee,S,Senate,False
S2NE00094,"FISCHER, DEBRA S.",C00670109,WINNING WOMEN FOR THE US SENATE,J,Joint fundraising committee,S,Senate,False
S2AZ00141,"FLAKE, JEFF",C00637181,2017 SENATORS CLASSIC COMMITTEE,J,Joint fundraising committee,S,Senate,False
S2AZ00141,"FLAKE, JEFF",C00516997,AYOTTE FLAKE & REHBERG VICTORY COMMITTEE,J,Joint fundraising committee,S,Senate,False
S2AZ00141,"FLAKE, JEFF",C00519801,"BERG, BROWN, FLAKE VICTORY COMMITTEE",J,Joint fundraising committee,N,PAC - Nonqualified,False
S2AZ00141,"FLAKE, JEFF",C00528687,FLAKE VICTORY COMMITTEE,J,Joint fundraising committee,N,PAC - Nonqualified,False
S2AZ00141,"FLAKE, JEFF",C00547489,FLAKE VICTORY COMMITTEE,J,Joint fundraising committee,N,PAC - Nonqualified,False
S2AZ00141,"FLAKE, JEFF",C00495077,FOUNDERS' COMMITTEE,J,Joint fundraising committee,N,PAC - Nonqualified,False
S2AZ00141,"FLAKE, JEFF",C00498576,GOOD GOVERNMENT FUND; THE,J,Joint fundraising committee,N,PAC - Nonqualified,False
S2AZ00141,"FLAKE, JEFF",C00347260,JEFF FLAKE FOR US SENATE INC.,A,Authorized by a candidate,S,Senate,False
S2AZ00141,"FLAKE, JEFF",C00652081,PROTECTING THE MAJORITY COMMITTEE,J,Joint fundraising committee,N,PAC - Nonqualified,False
S6MN00440,"FLANAGAN, MARGARET",C00897751,PEGGY FLANAGAN FOR MINNESOTA,P,Principal campaign committee,S,Senate,True
S6LA00318,"FLEMING, JOHN C. JR.",C00597013,FLEMING FOR LOUISIANA,P,Principal campaign committee,S,Senate,True
