state,state_name,polymarket_event_id,polymarket_event_slug,polymarket_event_title,polymarket_event_url,polymarket_market_id,polymarket_market_slug,polymarket_market_question,polymarket_market_url,polymarket_embed_url,market_entity_name,market_entity_type,market_party_normalized,yes_probability,no_probability,last_trade_price,best_bid,best_ask,volume,liquidity,active,closed,event_updated_at,data_pulled_at,matched_fec_candidate_id,matched_candidate_name,matched_party,matched_party_normalized,candidate_match_status,candidate_match_count,candidate_match_candidates
MA,Massachusetts,57655,massachusetts-senate-election-winner,Massachusetts Senate Election Winner,https://polymarket.com/event/massachusetts-senate-election-winner,630791,will-the-republicans-win-the-massachusetts-senate-race-in-2026,Will the Republicans win the Massachusetts Senate race in 2026?,https://polymarket.com/event/massachusetts-senate-election-winner#630791,https://embed.polymarket.com/market?market=will-the-republicans-win-the-massachusetts-senate-race-in-2026&height=300,Republican,party,REP,0.04,0.96,0.04,0.03,0.05,4603.103945999999,7245.2438,True,False,2026-05-03T12:06:24.068537Z,2026-05-03T12:08:24.883808+00:00,S4MA00358,"DEATON, JOHN",REP,REP,party_market_selected_candidate,1,S4MA00358
ME,Maine,57650,maine-senate-election-winner,Maine Senate Election Winner,https://polymarket.com/event/maine-senate-election-winner,630772,will-the-democrats-win-the-maine-senate-race-in-2026,Will the Democrats win the Maine Senate race in 2026?,https://polymarket.com/event/maine-senate-election-winner#630772,https://embed.polymarket.com/market?market=will-the-democrats-win-the-maine-senate-race-in-2026&height=300,Democrat,party,DEM,0.715,0.285,0.72,0.71,0.72,59443.852862999905,193834.0074,True,False,2026-05-03T12:06:34.545561Z,2026-05-03T12:08:24.882181+00:00,S0ME00111,"GIDEON, SARA",DEM,DEM,party_market_selected_candidate,1,S0ME00111
ME,Maine,57650,maine-senate-election-winner,Maine Senate Election Winner,https://polymarket.com/event/maine-senate-election-winner,630773,will-the-republicans-win-the-maine-senate-race-in-2026,Will the Republicans win the Maine Senate race in 2026?,https://polymarket.com/event/maine-senate-election-winner#630773,https://embed.polymarket.com/market?market=will-the-republicans-win-the-maine-senate-race-in-2026&height=300,Republican,party,REP,0.295,0.705,0.29,0.29,0.3,57069.455517,196490.5459,True,False,2026-05-03T12:06:34.545561Z,2026-05-03T12:08:24.882724+00:00,S6ME00159,"COLLINS, SUSAN M.",REP,REP,party_market_selected_candidate,1,S6ME00159
MI,Michigan,57658,michigan-senate-election-winner,Michigan Senate Election Winner,https://polymarket.com/event/michigan-senate-election-winner,630805,will-the-democrats-win-the-michigan-senate-race-in-2026,Will the Democrats win the Michigan Senate race in 2026?,https://polymarket.com/event/michigan-senate-election-winner#630805,https://embed.polymarket.com/market?market=will-the-democrats-win-the-michigan-senate-race-in-2026&height=300,Democrat,party,DEM,0.765,0.235,0.77,0.76,0.77,79241.63443200004,13326.6837,True,False,2026-05-03T12:06:23.840186Z,2026-05-03T12:08:24.884840+00:00,S4MI00470,"SLOTKIN, ELISSA",DEM,DEM,party_market_selected_candidate,1,S4MI00470
MI,Michigan,57658,michigan-senate-election-winner,Michigan Senate Election Winner,https://polymarket.com/event/michigan-senate-election-winner,630806,will-the-republicans-win-the-michigan-senate-race-in-2026,Will the Republicans win the Michigan Senate race in 2026?,https://polymarket.com/event/michigan-senate-election-winner#630806,https://embed.polymarket.com/market?market=will-the-republicans-win-the-michigan-senate-race-in-2026&height=300,Republican,party,REP,0.23,0.77,0.22,0.22,0.24,27272.391968000007,14572.4768,True,False,2026-05-03T12:06:23.840186Z,2026-05-03T12:08:24.884333+00:00,S8MI00372,"JAMES, JOHN",REP,REP,party_market_selected_candidate,1,S8MI00372
MN,Minnesota,57659,minnesota-senate-election-winner,Minnesota Senate Election Winner,https://polymarket.com/event/minnesota-senate-election-winner,630818,will-the-democrats-win-the-minnesota-senate-race-in-2026,Will the Democrats win the Minnesota Senate race in 2026?,https://polymarket.com/event/minnesota-senate-election-winner#630818,https://embed.polymarket.com/market?market=will-the-democrats-win-the-minnesota-senate-race-in-2026&height=300,Democrat,party,DEM,0.9,0.1,0.88,0.89,0.91,16342.708355999988,12868.6227,True,False,2026-05-03T12:06:29.197446Z,2026-05-03T12:08:24.885964+00:00,S8MN00578,"SMITH, TINA",DEM,DEM,party_market_selected_candidate,1,S8MN00578
MN,Minnesota,57659,minnesota-senate-election-winner,Minnesota Senate Election Winner,https://polymarket.com/event/minnesota-senate-election-winner,630819,will-the-republicans-win-the-minnesota-senate-race-in-2026,Will the Republicans win the Minnesota Senate race in 2026?,https://polymarket.com/event/minnesota-senate-election-winner#630819,https://embed.polymarket.com/market?market=will-the-republicans-win-the-minnesota-senate-race-in-2026&height=300,Republican,party,REP,0.055,0.945,0.07,0.04,0.07,6670.346428000004,12524.2156,True,False,2026-05-03T12:06:29.197446Z,2026-05-03T12:08:24.885436+00:00,S8MN00586,"HOUSLEY, KARIN",REP,REP,party_market_selected_candidate,1,S8MN00586
MS,Mississippi,57678,mississippi-senate-election-winner,Mississippi Senate Election Winner,https://polymarket.com/event/mississippi-senate-election-winner,631018,will-the-republicans-win-the-mississippi-senate-race-in-2026,Will the Republicans win the Mississippi Senate race in 2026?,https://polymarket.com/event/mississippi-senate-election-winner#631018,https://embed.polymarket.com/market?market=will-the-republicans-win-the-mississippi-senate-race-in-2026&height=300,Republican,party,REP,0.87,0.13,0.87,0.86,0.88,14726.267393,13039.3356,True,False,2026-05-03T12:06:29.26979Z,2026-05-03T12:08:24.886485+00:00,S8MS00196,"WICKER, ROGER SEN.",REP,REP,party_market_selected_candidate,1,S8MS00196
MS,Mississippi,57678,mississippi-senate-election-winner,Mississippi Senate Election Winner,https://polymarket.com/event/mississippi-senate-election-winner,631017,will-the-democrats-win-the-mississippi-senate-race-in-2026,Will the Democrats win the Mississippi Senate race in 2026?,https://polymarket.com/event/mississippi-senate-election-winner#631017,https://embed.polymarket.com/market?market=will-the-democrats-win-the-mississippi-senate-race-in-2026&height=300,Democrat,party,DEM,0.13,0.87,0.14,0.12,0.14,6873.945036000003,13125.453,True,False,2026-05-03T12:06:29.26979Z,2026-05-03T12:08:24.887017+00:00,S8MS00287,"ESPY, MICHAEL",DEM,DEM,party_market_selected_candidate,1,S8MS00287
MT,Montana,57660,montana-senate-election-winner,Montana Senate Election Winner,https://polymarket.com/event/montana-senate-election-winner,630832,will-the-republicans-win-the-montana-senate-race-in-2026,Will the Republicans win the Montana Senate race in 2026?,https://polymarket.com/event/montana-senate-election-winner#630832,https://embed.polymarket.com/market?market=will-the-republicans-win-the-montana-senate-race-in-2026&height=300,Republican,party,REP,0.795,0.205,0.81,0.79,0.8,37323.863484000016,11759.5711,True,False,2026-05-03T12:06:25.784234Z,2026-05-03T12:08:24.888470+00:00,S2MT00096,"DAINES, STEVE",REP,REP,party_market_selected_candidate,1,S2MT00096
